official_name_of_satellite,operator_owner,country_of_operator_owner,users,purpose,class_of_orbit,type_of_orbit,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes,launch_mass_kg,dry_mass_kg,power_watts,date_of_launch,expected_lifetime_years,contractor,country_of_contractor,launch_site,launch_vehicle,cospar_number,norad_number
AIST-1,"Samara State Aerospace University, SGAU",Russia,Civil,Technology Development,LEO,Polar,599,626,0.00193,82.4,96.9,1200,980,1500,12/28/2013,10,TsSKB Progress,Russia,Plesetsk Cosmodrome,"Soyuz 2,1v",2013-078C,39492
Condor E2,Armed Forces,South Africa,Military,Earth Observation,LEO,Polar,499,501,0.000146,74.75,94.62,1200,980,1500,12/19/2014,10,NPO Mashinostroyeniya,Russia,Baikonur Cosmodrome,Strela,2014-084A,40353
Cosmos 2504,Ministry of Defense,Russia,Military,Technology Development,LEO,Polar,1171,1504,0.0216,82.4,112.41,1200,980,1500,3/31/2015,10,Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,2015-020D,40555
Cosmos 2510,Ministry of Defense,Russia,Military,Earth Observation,Elliptical,Molniya,1606,38662,0.699,63,715,1200,980,1500,11/17/2015,10,RKK Energia,Russia,Plesetsk Cosmodrome,Soyuz 2.1,2015-066A,41032
USA 215,National Reconnaissance Office (NRO),USA,Military,Earth Observation,LEO,Non-Polar Inclined,1101,1107,0.000401,122.99,107.35,1200,980,1500,9/21/2010,10,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Atlas 5,2010-046A,37162
USA 234,National Reconnaissance Office (NRO),USA,Military,Earth Observation,LEO,Non-Polar Inclined,1068,1107,0.00261,123,107,1200,980,1500,4/3/2012,10,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Delta 4,2012-014A,38109
USA 247,National Reconnaissance Office (NRO),USA,Military,Earth Observation,LEO,Non-Polar Inclined,1066,1081,0.00101,123,106.7,1200,980,1500,12/6/2013,10,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Atlas 5,2013-072A,39462
USA 267,National Reconnaissance Office (NRO),USA,Military,Earth Observation,LEO,Non-Polar Inclined,1086,1087,0.0000671,123,106.7,1200,980,1500,2/10/2016,10,National Reconnaissance Office (NRO),USA,Vandenberg AFB,Delta 4,2016-010A,41334
Kuaizhou-2,National Academy of Sciences,China,Government,Earth Observation,LEO,Sun-Synchronous,295,328,0.00247,96.54,90.76,1200,980,1500,11/21/2014,10,Harbin Institute of Technology,China,Jiuquan Satellite Launch Center,Kuaizhou,2014-073A,40311
Prometheus 1A,Los Alamos National Laboratory,USA,Military,Technology Development,LEO,Non-Polar Inclined,432,444,0.000881,40.51,94.68,1200,980,1500,11/19/2013,10,Los Alamos National Laboratory,USA,Wallops Island Flight Facility,Minotaur 1,2013-064AC,39406
